基金代码,拼音缩写,基金简称,基金类型,拼音全称
020877,ZOJQJXHHC,中欧景气精选混合C,混合型-偏股,ZHONGOUJINGQIJINGXUANHUNHEC
020884,PHCZXFHHA,鹏华成长先锋混合A,混合型-偏股,PENGHUACHENGZHANGXIANFENGHUNHEA
020885,PHCZXFHHC,鹏华成长先锋混合C,混合型-偏股,PENGHUACHENGZHANGXIANFENGHUNHEC
020901,ZSCZLHXGGPA,招商成长量化选股股票A,股票型,ZHAOSHANGCHENGZHANGLIANGHUAXUANGUGUPIAOA
020902,ZSCZLHXGGPC,招商成长量化选股股票C,股票型,ZHAOSHANGCHENGZHANGLIANGHUAXUANGUGUPIAOC
020922,HQZXLHXGHHA,汇泉智享量化选股混合A,混合型-偏股,HUIQUANZHIXIANGLIANGHUAXUANGUHUNHEA
020923,HQZXLHXGHHC,汇泉智享量化选股混合C,混合型-偏股,HUIQUANZHIXIANGLIANGHUAXUANGUHUNHEC
020964,AXQYJZYXHHC,安信企业价值优选混合C,混合型-偏股,ANXINQIYEJIAZHIYOUXUANHUNHEC
020966,DWKJCXHHA,东吴科技创新混合A,混合型-偏股,DONGWUKEJICHUANGXINHUNHEA
020967,DWKJCXHHC,东吴科技创新混合C,混合型-偏股,DONGWUKEJICHUANGXINHUNHEC
020970,YMPZSJHHC,益民品质升级混合C,混合型-灵活,YIMINPINZHISHENGJIHUNHEC
020975,WJKJLHXGHHFQSA,万家科技量化选股混合发起式A,混合型-偏股,WANJIAKEJILIANGHUAXUANGUHUNHEFAQISHIA
020976,WJKJLHXGHHFQSC,万家科技量化选股混合发起式C,混合型-偏股,WANJIAKEJILIANGHUAXUANGUHUNHEFAQISHIC
020977,YHCRHHC,银华长荣混合C,混合型-偏股,YINHUACHANGRONGHUNHEC
020979,XBLDJZHBHHA,西部利得价值回报混合A,混合型-偏股,XIBULIDEJIAZHIHUIBAOHUNHEA
020980,XBLDJZHBHHC,西部利得价值回报混合C,混合型-偏股,XIBULIDEJIAZHIHUIBAOHUNHEC
020985,HAJQCZHHA,汇安景气成长混合A,混合型-偏股,HUIANJINGQICHENGZHANGHUNHEA
020986,HAJQCZHHC,汇安景气成长混合C,混合型-偏股,HUIANJINGQICHENGZHANGHUNHEC
021015,CJXRHHA,长江旭日混合A,混合型-偏股,CHANGJIANGXURIHUNHEA
