fund_code,report_period,stock_count,granularity
519068,2025年1季度股票投资明细,12,top50_or_partial
519068,2025年2季度股票投资明细,149,full_stock_holdings
519068,2025年3季度股票投资明细,11,top50_or_partial
519068,2025年4季度股票投资明细,162,full_stock_holdings
519712,2023年1季度股票投资明细,16,top50_or_partial
519712,2023年2季度股票投资明细,163,full_stock_holdings
519712,2023年3季度股票投资明细,13,top50_or_partial
519712,2023年4季度股票投资明细,167,full_stock_holdings
519712,2024年1季度股票投资明细,12,top50_or_partial
519712,2024年2季度股票投资明细,95,full_stock_holdings
519712,2024年3季度股票投资明细,10,top10_only
519712,2024年4季度股票投资明细,102,full_stock_holdings
519712,2025年1季度股票投资明细,14,top50_or_partial
519712,2025年2季度股票投资明细,82,full_stock_holdings
519712,2025年3季度股票投资明细,11,top50_or_partial
519712,2025年4季度股票投资明细,47,top50_or_partial
519736,2023年1季度股票投资明细,14,top50_or_partial
519736,2023年2季度股票投资明细,278,full_stock_holdings
519736,2023年3季度股票投资明细,11,top50_or_partial
519736,2023年4季度股票投资明细,110,full_stock_holdings
519736,2024年1季度股票投资明细,14,top50_or_partial
519736,2024年2季度股票投资明细,105,full_stock_holdings
519736,2024年3季度股票投资明细,11,top50_or_partial
519736,2024年4季度股票投资明细,63,full_stock_holdings
519736,2025年1季度股票投资明细,11,top50_or_partial
519736,2025年2季度股票投资明细,72,full_stock_holdings
519736,2025年3季度股票投资明细,11,top50_or_partial
519736,2025年4季度股票投资明细,90,full_stock_holdings
519772,2023年1季度股票投资明细,17,top50_or_partial
519772,2023年2季度股票投资明细,132,full_stock_holdings
519772,2023年3季度股票投资明细,18,top50_or_partial
519772,2023年4季度股票投资明细,111,full_stock_holdings
519772,2024年1季度股票投资明细,17,top50_or_partial
519772,2024年2季度股票投资明细,76,full_stock_holdings
519772,2024年3季度股票投资明细,16,top50_or_partial
519772,2024年4季度股票投资明细,55,full_stock_holdings
519772,2025年1季度股票投资明细,13,top50_or_partial
519772,2025年2季度股票投资明细,51,full_stock_holdings
519772,2025年3季度股票投资明细,13,top50_or_partial
519772,2025年4季度股票投资明细,66,full_stock_holdings
540003,2023年1季度股票投资明细,16,top50_or_partial
540003,2023年2季度股票投资明细,39,top50_or_partial
540003,2023年3季度股票投资明细,15,top50_or_partial
540003,2023年4季度股票投资明细,25,top50_or_partial
540003,2024年1季度股票投资明细,13,top50_or_partial
540003,2024年2季度股票投资明细,23,top50_or_partial
540003,2024年3季度股票投资明细,12,top50_or_partial
540003,2024年4季度股票投资明细,21,top50_or_partial
540003,2025年1季度股票投资明细,10,top10_only
540003,2025年2季度股票投资明细,24,top50_or_partial
540003,2025年3季度股票投资明细,11,top50_or_partial
540003,2025年4季度股票投资明细,31,top50_or_partial
570001,2023年1季度股票投资明细,10,top10_only
570001,2023年2季度股票投资明细,34,top50_or_partial
570001,2023年3季度股票投资明细,10,top10_only
570001,2023年4季度股票投资明细,29,top50_or_partial
570001,2024年1季度股票投资明细,10,top10_only
570001,2024年2季度股票投资明细,29,top50_or_partial
570001,2024年3季度股票投资明细,10,top10_only
570001,2024年4季度股票投资明细,31,top50_or_partial
570001,2025年1季度股票投资明细,10,top10_only
570001,2025年2季度股票投资明细,29,top50_or_partial
570001,2025年3季度股票投资明细,10,top10_only
570001,2025年4季度股票投资明细,29,top50_or_partial
