fund_code,entity_type,fetch_timestamp,akshare_version,is_success,record_count,error_message,elapsed_seconds,data_hash
020005,industry,2026-06-04 14:05:35.703369,1.18.64,True,27,,2.42,4d9b9987209d5e2d
020005,nav,2026-06-04 14:05:05.118868,1.18.64,True,5311,,9.28,11512bff81e0cb9f
070002,basic_info,2026-06-04 14:05:40.241498,1.18.64,True,14,,2.49,d41969dca8ef1824
070002,holdings,2026-06-04 14:06:10.860156,1.18.64,True,573,,0.0,N/A
070002,industry,2026-06-04 14:06:15.779927,1.18.64,True,24,,2.25,a224a321bab8ed7e
070002,nav,2026-06-04 14:05:50.187382,1.18.64,True,5583,,7.56,48a47e7bb4bb1d8c
110009,basic_info,2026-06-04 14:06:21.468003,1.18.64,True,14,,3.62,96f67d5ffeb35ca0
110009,holdings,2026-06-04 14:07:41.117919,1.18.64,True,1310,,0.0,N/A
110009,industry,2026-06-04 14:07:50.936989,1.18.64,True,57,,5.32,1e86acb7798205bc
110009,nav,2026-06-04 14:06:39.135467,1.18.64,True,4832,,15.03,7785d5f749ba1258
110022,basic_info,2026-06-04 14:22:34.406304,1.18.64,True,14,,1.92,4757e6959d9e94d7
110022,holdings,2026-06-04 14:22:58.013066,1.18.64,True,495,,0.0,N/A
110022,industry,2026-06-04 14:23:02.871491,1.18.64,True,19,,2.3,0156ce6b2071f45a
110022,nav,2026-06-04 14:22:42.404159,1.18.64,True,3814,,5.81,3e8c45c5c677b379
161005,basic_info,2026-06-04 14:12:26.656815,1.18.64,True,14,,1.54,f0c8f04f079c18e8
161005,holdings,2026-06-04 14:13:33.677220,1.18.64,True,1745,,0.0,N/A
161005,industry,2026-06-04 14:13:46.560321,1.18.64,True,60,,9.08,414e09e7b33b92bd
161005,nav,2026-06-04 14:12:37.701391,1.18.64,True,5011,,8.81,3bfe195458f8b4d7
163406,basic_info,2026-06-04 14:07:59.836220,1.18.64,True,14,,6.7,ac38bfd3676c815e
163406,holdings,2026-06-04 14:08:42.469656,1.18.64,True,687,,0.0,N/A
163406,industry,2026-06-04 14:08:48.534024,1.18.64,True,29,,2.98,f642b74fc156af10
163406,nav,2026-06-04 14:08:15.458615,1.18.64,True,3910,,12.98,926857c3098a8475
166002,basic_info,2026-06-04 14:14:01.128167,1.18.64,True,14,,12.08,b140c1b8cf3613df
166002,holdings,2026-06-04 14:14:31.384955,1.18.64,True,845,,0.0,N/A
166002,industry,2026-06-04 14:14:36.976215,1.18.64,True,36,,2.4,c3bbf5bf2e3a364c
166002,nav,2026-06-04 14:14:12.806771,1.18.64,True,4308,,9.48,de2a61c69421fd7a
260108,basic_info,2026-06-04 14:08:53.253617,1.18.64,True,14,,2.68,4cdf0ddf3410d210
